i,t,m,Rural
5052-001,2014-15,Mainland Other Urban,0
5053-001,2014-15,Mainland Other Urban,0
5054-001,2014-15,Mainland Other Urban,0
5066-001,2014-15,Mainland Rural,1
5067-001,2014-15,Mainland Rural,1
5068-001,2014-15,Mainland Rural,1
5069-001,2014-15,Mainland Rural,1
5070-001,2014-15,Mainland Rural,1
5071-001,2014-15,Mainland Rural,1
5072-001,2014-15,Mainland Rural,1
5073-001,2014-15,Mainland Rural,1
5085-001,2014-15,Mainland Rural,1
5086-001,2014-15,Mainland Rural,1
5087-001,2014-15,Mainland Rural,1
5088-001,2014-15,Mainland Rural,1
5089-001,2014-15,Mainland Rural,1
5090-001,2014-15,Mainland Rural,1
5091-001,2014-15,Mainland Rural,1
5092-001,2014-15,Mainland Rural,1
51010010320006,2008-09,Zanzibar,1
5101001032000601,2010-11,Zanzibar,1
51010010320050,2008-09,Zanzibar,1
5101001032005001,2010-11,Zanzibar,1
51010010320054,2008-09,Zanzibar,1
5101001032005401,2010-11,Zanzibar,1
51010010320055,2008-09,Zanzibar,1
5101001032005501,2010-11,Zanzibar,1
51010010320090,2008-09,Zanzibar,1
5101001032009001,2010-11,Zanzibar,1
51010010320091,2008-09,Zanzibar,1
5101001032009101,2010-11,Zanzibar,1
51010010320092,2008-09,Zanzibar,1
5101001032009201,2010-11,Zanzibar,1
51010010320116,2008-09,Zanzibar,1
5101001032011601,2010-11,Zanzibar,1
51010060160016,2008-09,Zanzibar,1
5101006016001601,2010-11,Zanzibar,1
51010060160035,2008-09,Zanzibar,1
5101006016003501,2010-11,Zanzibar,1
51010060160045,2008-09,Zanzibar,1
5101006016004501,2010-11,Zanzibar,1
51010060160050,2008-09,Zanzibar,1
5101006016005001,2010-11,Zanzibar,1
51010060160075,2008-09,Zanzibar,1
5101006016007501,2010-11,Zanzibar,1
51010060160084,2008-09,Zanzibar,1
5101006016008401,2010-11,Zanzibar,1
51010060160088,2008-09,Zanzibar,1
5101006016008801,2010-11,Zanzibar,1
51010060160110,2008-09,Zanzibar,1
5101006016011001,2010-11,Zanzibar,1
51010070520006,2008-09,Zanzibar,1
5101007052000601,2010-11,Zanzibar,1
51010070520047,2008-09,Zanzibar,1
5101007052004701,2010-11,Zanzibar,1
51010070520050,2008-09,Zanzibar,1
5101007052005001,2010-11,Zanzibar,1
51010070520054,2008-09,Zanzibar,1
5101007052005401,2010-11,Zanzibar,1
51010070520065,2008-09,Zanzibar,1
5101007052006501,2010-11,Zanzibar,1
51010070520067,2008-09,Zanzibar,1
5101007052006701,2010-11,Zanzibar,1
51010070520086,2008-09,Zanzibar,1
51010070520091,2008-09,Zanzibar,1
5101007052009101,2010-11,Zanzibar,1
51010130410034,2008-09,Zanzibar,1
5101013041003401,2010-11,Zanzibar,1
51010130410036,2008-09,Zanzibar,1
5101013041003601,2010-11,Zanzibar,1
51010130410044,2008-09,Zanzibar,1
5101013041004401,2010-11,Zanzibar,1
51010130410048,2008-09,Zanzibar,1
5101013041004801,2010-11,Zanzibar,1
51010130410049,2008-09,Zanzibar,1
5101013041004901,2010-11,Zanzibar,1
51010130410059,2008-09,Zanzibar,1
5101013041005901,2010-11,Zanzibar,1
51010130410092,2008-09,Zanzibar,1
5101013041009201,2010-11,Zanzibar,1
51010130410114,2008-09,Zanzibar,1
5101013041011401,2010-11,Zanzibar,1
51020010120004,2008-09,Zanzibar,1
5102001012000401,2010-11,Zanzibar,1
51020010120006,2008-09,Zanzibar,1
5102001012000601,2010-11,Zanzibar,1
51020010120011,2008-09,Zanzibar,1
5102001012001101,2010-11,Zanzibar,1
51020010120050,2008-09,Zanzibar,1
5102001012005001,2010-11,Zanzibar,1
5102001012005002,2010-11,Zanzibar,1
5102001012005009,2010-11,Zanzibar,1
51020010120086,2008-09,Zanzibar,1
5102001012008601,2010-11,Zanzibar,1
51020010120089,2008-09,Zanzibar,1
5102001012008901,2010-11,Zanzibar,1
51020010120091,2008-09,Zanzibar,1
5102001012009101,2010-11,Zanzibar,1
51020010120184,2008-09,Zanzibar,1
5102001012018401,2010-11,Zanzibar,1
51020020510007,2008-09,Zanzibar,1
5102002051000701,2010-11,Zanzibar,1
51020020510033,2008-09,Zanzibar,1
5102002051003301,2010-11,Zanzibar,1
51020020510055,2008-09,Zanzibar,1
5102002051005501,2010-11,Zanzibar,1
51020020510058,2008-09,Zanzibar,1
5102002051005801,2010-11,Zanzibar,1
51020020510067,2008-09,Zanzibar,1
5102002051006701,2010-11,Zanzibar,1
51020020510085,2008-09,Zanzibar,1
5102002051008501,2010-11,Zanzibar,1
51020020510121,2008-09,Zanzibar,1
5102002051012101,2010-11,Zanzibar,1
51020020510123,2008-09,Zanzibar,1
5102002051012301,2010-11,Zanzibar,1
51020110110036,2008-09,Zanzibar,1
5102011011003601,2010-11,Zanzibar,1
51020110110044,2008-09,Zanzibar,1
5102011011004401,2010-11,Zanzibar,1
51020110110048,2008-09,Zanzibar,1
5102011011004801,2010-11,Zanzibar,1
51020110110049,2008-09,Zanzibar,1
5102011011004902,2010-11,Zanzibar,1
5102011011004903,2010-11,Zanzibar,1
51020110110068,2008-09,Zanzibar,1
5102011011006802,2010-11,Zanzibar,0
51020110110072,2008-09,Zanzibar,1
5102011011007201,2010-11,Zanzibar,1
51020110110092,2008-09,Zanzibar,1
5102011011009201,2010-11,Zanzibar,1
51020110110125,2008-09,Zanzibar,1
5102011011012501,2010-11,Zanzibar,1
51020160120034,2008-09,Zanzibar,1
5102016012003401,2010-11,Zanzibar,1
51020160120036,2008-09,Zanzibar,1
5102016012003601,2010-11,Zanzibar,1
51020160120044,2008-09,Zanzibar,1
5102016012004401,2010-11,Zanzibar,1
51020160120048,2008-09,Zanzibar,1
5102016012004801,2010-11,Zanzibar,1
51020160120059,2008-09,Zanzibar,1
5102016012005901,2010-11,Zanzibar,1
51020160120062,2008-09,Zanzibar,1
5102016012006201,2010-11,Zanzibar,1
51020160120068,2008-09,Zanzibar,1
5102016012006801,2010-11,Zanzibar,1
51020160120092,2008-09,Zanzibar,1
5102016012009201,2010-11,Zanzibar,1
51020220120034,2008-09,Zanzibar,1
5102022012003401,2010-11,Zanzibar,1
51020220120036,2008-09,Zanzibar,1
5102022012003601,2010-11,Zanzibar,1
51020220120044,2008-09,Zanzibar,1
5102022012004401,2010-11,Zanzibar,1
51020220120048,2008-09,Zanzibar,1
5102022012004801,2010-11,Zanzibar,1
51020220120059,2008-09,Zanzibar,1
5102022012005901,2010-11,Zanzibar,1
51020220120068,2008-09,Zanzibar,1
5102022012006801,2010-11,Zanzibar,1
51020220120072,2008-09,Zanzibar,1
5102022012007201,2010-11,Zanzibar,1
51020220120114,2008-09,Zanzibar,1
5102022012011401,2010-11,Zanzibar,1
5104-001,2014-15,Dar Es Salaam,0
5105-001,2014-15,Dar Es Salaam,0
5106-001,2014-15,Dar Es Salaam,0
5107-001,2014-15,Dar Es Salaam,0
5108-001,2014-15,Dar Es Salaam,0
5109-001,2014-15,Dar Es Salaam,0
5110-001,2014-15,Dar Es Salaam,0
5111-001,2014-15,Dar Es Salaam,0
5124-001,2014-15,Dar Es Salaam,0
5125-001,2014-15,Dar Es Salaam,0
5127-001,2014-15,Dar Es Salaam,0
5128-001,2014-15,Dar Es Salaam,0
5130-001,2014-15,Dar Es Salaam,0
5131-001,2014-15,Dar Es Salaam,0
5132-001,2014-15,Dar Es Salaam,0
5133-001,2014-15,Dar Es Salaam,0
5143-001,2014-15,Dar Es Salaam,0
5144-001,2014-15,Dar Es Salaam,0
5146-001,2014-15,Dar Es Salaam,0
5147-001,2014-15,Dar Es Salaam,0
5148-001,2014-15,Dar Es Salaam,0
5149-001,2014-15,Dar Es Salaam,0
5152-001,2014-15,Dar Es Salaam,0
5153-001,2014-15,Dar Es Salaam,0
5162-001,2014-15,Dar Es Salaam,0
5163-001,2014-15,Dar Es Salaam,0
5164-001,2014-15,Dar Es Salaam,0
5166-001,2014-15,Dar Es Salaam,0
5168-001,2014-15,Dar Es Salaam,0
5169-001,2014-15,Dar Es Salaam,0
5170-001,2014-15,Dar Es Salaam,0
5171-001,2014-15,Dar Es Salaam,0
5180-001,2014-15,Dar Es Salaam,0
5181-001,2014-15,Dar Es Salaam,0
5182-001,2014-15,Dar Es Salaam,0
5183-001,2014-15,Dar Es Salaam,0
5184-001,2014-15,Dar Es Salaam,0
5186-001,2014-15,Dar Es Salaam,0
5187-001,2014-15,Dar Es Salaam,0
5188-001,2014-15,Dar Es Salaam,0
5200-001,2014-15,Dar Es Salaam,0
5201-001,2014-15,Dar Es Salaam,0
52010040130002,2008-09,Zanzibar,1
5201004013000201,2010-11,Zanzibar,1
52010040130009,2008-09,Zanzibar,1
5201004013000901,2010-11,Zanzibar,1
52010040130015,2008-09,Zanzibar,1
5201004013001501,2010-11,Zanzibar,1
52010040130016,2008-09,Zanzibar,1
5201004013001601,2010-11,Zanzibar,1
52010040130029,2008-09,Zanzibar,1
5201004013002901,2010-11,Zanzibar,1
5201004013002903,2010-11,Zanzibar,1
52010040130035,2008-09,Zanzibar,1
5201004013003501,2010-11,Zanzibar,1
52010040130045,2008-09,Zanzibar,1
5201004013004501,2010-11,Zanzibar,1
5201004013004502,2010-11,Mainland Rural,1
52010040130063,2008-09,Zanzibar,1
5201004013006301,2010-11,Zanzibar,1
52010210130036,2008-09,Zanzibar,1
5201021013003601,2010-11,Zanzibar,1
52010210130044,2008-09,Zanzibar,1
5201021013004401,2010-11,Zanzibar,1
52010210130048,2008-09,Zanzibar,1
5201021013004801,2010-11,Zanzibar,1
52010210130049,2008-09,Zanzibar,1
5201021013004901,2010-11,Zanzibar,1
52010210130072,2008-09,Zanzibar,1
5201021013007201,2010-11,Zanzibar,1
52010210130092,2008-09,Zanzibar,1
5201021013009201,2010-11,Zanzibar,1
5201021013009202,2010-11,Zanzibar,1
52010210130114,2008-09,Zanzibar,1
5201021013011401,2010-11,Zanzibar,1
52010210130125,2008-09,Zanzibar,1
5201021013012501,2010-11,Zanzibar,1
5201021013012504,2010-11,Zanzibar,1
5202-001,2014-15,Dar Es Salaam,0
52020020050006,2008-09,Zanzibar,0
5202002005000601,2010-11,Zanzibar,1
5202002005000605,2010-11,Zanzibar,0
5202002005000608,2010-11,Zanzibar,1
52020020050050,2008-09,Zanzibar,0
5202002005005001,2010-11,Zanzibar,1
52020020050055,2008-09,Zanzibar,0
5202002005005501,2010-11,Zanzibar,1
52020020050086,2008-09,Zanzibar,0
5202002005008601,2010-11,Zanzibar,1
52020020050091,2008-09,Zanzibar,0
5202002005009101,2010-11,Zanzibar,1
52020020050092,2008-09,Zanzibar,0
5202002005009201,2010-11,Zanzibar,1
52020020050116,2008-09,Zanzibar,0
5202002005011601,2010-11,Zanzibar,1
52020020050133,2008-09,Zanzibar,0
5202002005013301,2010-11,Zanzibar,1
52020090120028,2008-09,Zanzibar,1
5202009012002801,2010-11,Zanzibar,0
5202009012002803,2010-11,Zanzibar,0
52020090120042,2008-09,Zanzibar,1
5202009012004201,2010-11,Zanzibar,0
52020090120044,2008-09,Zanzibar,1
5202009012004401,2010-11,Zanzibar,0
52020090120059,2008-09,Zanzibar,1
5202009012005901,2010-11,Zanzibar,0
52020090120089,2008-09,Zanzibar,1
5202009012008901,2010-11,Zanzibar,0
52020090120103,2008-09,Zanzibar,1
5202009012010301,2010-11,Zanzibar,0
52020090120112,2008-09,Zanzibar,1
5202009012011201,2010-11,Zanzibar,0
52020090120124,2008-09,Zanzibar,1
5202009012012401,2010-11,Zanzibar,0
5202009012012402,2010-11,Zanzibar,0
5202009012012403,2010-11,Zanzibar,0
5203-001,2014-15,Dar Es Salaam,0
5204-001,2014-15,Dar Es Salaam,0
5205-001,2014-15,Dar Es Salaam,0
5206-001,2014-15,Dar Es Salaam,0
5207-001,2014-15,Dar Es Salaam,0
5218-001,2014-15,Dar Es Salaam,0
5219-001,2014-15,Dar Es Salaam,0
5220-001,2014-15,Dar Es Salaam,0
5221-001,2014-15,Dar Es Salaam,0
5222-001,2014-15,Dar Es Salaam,0
5223-001,2014-15,Dar Es Salaam,0
5224-001,2014-15,Dar Es Salaam,0
5228-001,2014-15,Dar Es Salaam,0
5238-001,2014-15,Dar Es Salaam,0
5240-001,2014-15,Dar Es Salaam,0
5241-001,2014-15,Dar Es Salaam,0
5242-001,2014-15,Dar Es Salaam,0
5243-001,2014-15,Dar Es Salaam,0
5244-001,2014-15,Dar Es Salaam,0
5245-001,2014-15,Dar Es Salaam,0
5246-001,2014-15,Dar Es Salaam,0
5256-001,2014-15,Dar Es Salaam,0
5257-001,2014-15,Dar Es Salaam,0
5258-001,2014-15,Dar Es Salaam,0
5259-001,2014-15,Dar Es Salaam,0
5260-001,2014-15,Dar Es Salaam,0
5261-001,2014-15,Dar Es Salaam,0
5262-001,2014-15,Dar Es Salaam,0
5263-001,2014-15,Dar Es Salaam,0
5275-001,2014-15,Dar Es Salaam,0
5276-001,2014-15,Dar Es Salaam,0
5277-001,2014-15,Dar Es Salaam,0
5278-001,2014-15,Dar Es Salaam,0
5279-001,2014-15,Dar Es Salaam,0
5280-001,2014-15,Dar Es Salaam,0
5281-001,2014-15,Dar Es Salaam,0
5283-001,2014-15,Dar Es Salaam,0
5294-001,2014-15,Dar Es Salaam,0
5295-001,2014-15,Dar Es Salaam,0
5296-001,2014-15,Dar Es Salaam,0
5298-001,2014-15,Dar Es Salaam,0
5299-001,2014-15,Dar Es Salaam,0
5300-001,2014-15,Dar Es Salaam,0
53010023040009,2008-09,Zanzibar,0
5301002304000901,2010-11,Zanzibar,0
53010023040016,2008-09,Zanzibar,0
5301002304001601,2010-11,Zanzibar,0
53010023040023,2008-09,Zanzibar,0
5301002304002301,2010-11,Zanzibar,0
53010023040029,2008-09,Zanzibar,0
5301002304002901,2010-11,Zanzibar,0
5301002304002904,2010-11,Zanzibar,0
53010023040045,2008-09,Zanzibar,0
5301002304004501,2010-11,Zanzibar,0
53010023040050,2008-09,Zanzibar,0
5301002304005001,2010-11,Zanzibar,0
53010023040063,2008-09,Zanzibar,0
5301002304006301,2010-11,Zanzibar,0
53010023040075,2008-09,Zanzibar,0
5301002304007501,2010-11,Zanzibar,0
53010070210034,2008-09,Zanzibar,1
5301007021003401,2010-11,Zanzibar,0
53010070210036,2008-09,Zanzibar,1
5301007021003601,2010-11,Zanzibar,0
53010070210044,2008-09,Zanzibar,1
5301007021004401,2010-11,Zanzibar,1
53010070210048,2008-09,Zanzibar,1
5301007021004801,2010-11,Zanzibar,1
53010070210059,2008-09,Zanzibar,1
5301007021005901,2010-11,Zanzibar,1
53010070210068,2008-09,Zanzibar,1
5301007021006801,2010-11,Zanzibar,0
53010070210072,2008-09,Zanzibar,1
5301007021007201,2010-11,Zanzibar,0
53010070210114,2008-09,Zanzibar,1
5301007021011401,2010-11,Zanzibar,0
5301007021011405,2010-11,Dar Es Salaam,1
53010080720036,2008-09,Zanzibar,1
5301008072003601,2010-11,Zanzibar,1
53010080720049,2008-09,Zanzibar,1
5301008072004901,2010-11,Zanzibar,1
53010080720059,2008-09,Zanzibar,1
53010080720068,2008-09,Zanzibar,1
5301008072006801,2010-11,Zanzibar,1
53010080720092,2008-09,Zanzibar,1
5301008072009201,2010-11,Zanzibar,1
53010080720114,2008-09,Zanzibar,1
5301008072011401,2010-11,Zanzibar,1
53010080720125,2008-09,Zanzibar,1
5301008072012501,2010-11,Zanzibar,1
53010080720175,2008-09,Zanzibar,1
5301008072017501,2010-11,Zanzibar,1
53010130120009,2008-09,Zanzibar,1
5301013012000901,2010-11,Zanzibar,1
53010130120016,2008-09,Zanzibar,1
5301013012001601,2010-11,Zanzibar,1
53010130120035,2008-09,Zanzibar,1
5301013012003501,2010-11,Zanzibar,1
53010130120045,2008-09,Zanzibar,1
5301013012004501,2010-11,Zanzibar,1
5301013012004503,2010-11,Zanzibar,1
53010130120063,2008-09,Zanzibar,1
5301013012006301,2010-11,Zanzibar,1
53010130120075,2008-09,Zanzibar,1
5301013012007501,2010-11,Zanzibar,1
5301013012007502,2010-11,Zanzibar,0
53010130120084,2008-09,Zanzibar,1
5301013012008401,2010-11,Zanzibar,1
5301013012008403,2010-11,Zanzibar,1
5301013012008404,2010-11,Zanzibar,0
5301013012008408,2010-11,Zanzibar,1
53010130120094,2008-09,Zanzibar,1
5301013012009401,2010-11,Zanzibar,1
53010163130009,2008-09,Zanzibar,0
5301016313000901,2010-11,Zanzibar,0
53010163130016,2008-09,Zanzibar,0
53010163130023,2008-09,Zanzibar,0
5301016313002301,2010-11,Zanzibar,0
53010163130029,2008-09,Zanzibar,0
5301016313002901,2010-11,Zanzibar,0
53010163130045,2008-09,Zanzibar,0
5301016313004501,2010-11,Zanzibar,0
53010163130050,2008-09,Zanzibar,0
5301016313005001,2010-11,Zanzibar,0
53010163130063,2008-09,Zanzibar,0
5301016313006301,2010-11,Zanzibar,0
53010163130075,2008-09,Zanzibar,0
5301016313007501,2010-11,Zanzibar,0
53010163180002,2008-09,Zanzibar,0
53010163180009,2008-09,Zanzibar,0
5301016318000901,2010-11,Zanzibar,0
53010163180015,2008-09,Zanzibar,0
5301016318001501,2010-11,Zanzibar,0
5301016318001507,2010-11,Zanzibar,1
53010163180016,2008-09,Zanzibar,0
5301016318001601,2010-11,Zanzibar,0
53010163180017,2008-09,Zanzibar,0
5301016318001701,2010-11,Zanzibar,0
5301016318001702,2010-11,Zanzibar,0
53010163180020,2008-09,Zanzibar,0
5301016318002001,2010-11,Zanzibar,0
53010163180023,2008-09,Zanzibar,0
5301016318002301,2010-11,Zanzibar,0
53010163180035,2008-09,Zanzibar,0
5301016318003501,2010-11,Zanzibar,0
5.30102E+15,2010-11,Zanzibar,1
53010163260006,2008-09,Zanzibar,0
53010163260050,2008-09,Zanzibar,0
5301016326005002,2010-11,Zanzibar,0
53010163260055,2008-09,Zanzibar,0
5301016326005501,2010-11,Zanzibar,0
53010163260065,2008-09,Zanzibar,0
5301016326006501,2010-11,Zanzibar,0
53010163260067,2008-09,Zanzibar,0
5301016326006701,2010-11,Zanzibar,0
5301016326006703,2010-11,Zanzibar,0
5301016326006704,2010-11,Zanzibar,1
53010163260086,2008-09,Zanzibar,0
53010163260091,2008-09,Zanzibar,0
5301016326009101,2010-11,Zanzibar,0
53010163260092,2008-09,Zanzibar,0
53010190110009,2008-09,Zanzibar,1
5301019011000901,2010-11,Zanzibar,1
53010190110016,2008-09,Zanzibar,1
5301019011001601,2010-11,Zanzibar,1
53010190110035,2008-09,Zanzibar,1
5301019011003501,2010-11,Zanzibar,1
5301019011003506,2010-11,Zanzibar,1
53010190110045,2008-09,Zanzibar,1
5301019011004501,2010-11,Zanzibar,1
53010190110063,2008-09,Zanzibar,1
5301019011006301,2010-11,Zanzibar,1
53010190110074,2008-09,Zanzibar,1
5301019011007401,2010-11,Zanzibar,1
5301019011007407,2010-11,Zanzibar,1
53010190110075,2008-09,Zanzibar,1
5301019011007501,2010-11,Zanzibar,1
53010190110088,2008-09,Zanzibar,1
5301019011008801,2010-11,Zanzibar,1
53010220350015,2008-09,Zanzibar,0
5301022035001501,2010-11,Zanzibar,1
5301022035001502,2010-11,Zanzibar,1
53010220350016,2008-09,Zanzibar,0
5301022035001601,2010-11,Zanzibar,1
53010220350023,2008-09,Zanzibar,0
5301022035002301,2010-11,Zanzibar,1
53010220350029,2008-09,Zanzibar,0
5301022035002901,2010-11,Zanzibar,1
53010220350035,2008-09,Zanzibar,0
5301022035003501,2010-11,Zanzibar,1
53010220350045,2008-09,Zanzibar,0
5301022035004501,2010-11,Zanzibar,1
53010220350050,2008-09,Zanzibar,0
5301022035005001,2010-11,Zanzibar,1
53010220350063,2008-09,Zanzibar,0
5301022035006301,2010-11,Zanzibar,1
53010220450002,2008-09,Zanzibar,0
5301022045000201,2010-11,Zanzibar,1
5301022045000202,2010-11,Zanzibar,1
53010220450009,2008-09,Zanzibar,0
5301022045000901,2010-11,Zanzibar,1
53010220450015,2008-09,Zanzibar,0
5301022045001501,2010-11,Zanzibar,1
53010220450016,2008-09,Zanzibar,0
5301022045001601,2010-11,Zanzibar,1
53010220450029,2008-09,Zanzibar,0
5301022045002901,2010-11,Zanzibar,1
53010220450035,2008-09,Zanzibar,0
5301022045003501,2010-11,Zanzibar,1
53010220450045,2008-09,Zanzibar,0
5301022045004501,2010-11,Zanzibar,1
53010220450063,2008-09,Zanzibar,0
5301022045006301,2010-11,Zanzibar,1
5301022045006302,2010-11,Zanzibar,1
53010243070016,2008-09,Zanzibar,0
5301024307001601,2010-11,Zanzibar,0
53010243070035,2008-09,Zanzibar,0
5301024307003501,2010-11,Zanzibar,0
53010243070045,2008-09,Zanzibar,0
5301024307004501,2010-11,Zanzibar,1
53010243070050,2008-09,Zanzibar,0
5301024307005001,2010-11,Zanzibar,0
53010243070075,2008-09,Zanzibar,0
5301024307007501,2010-11,Zanzibar,0
5301024307007502,2010-11,Zanzibar,1
53010243070084,2008-09,Zanzibar,0
5301024307008401,2010-11,Zanzibar,1
53010243070088,2008-09,Zanzibar,0
5301024307008801,2010-11,Zanzibar,1
53010243070110,2008-09,Zanzibar,0
5301024307011001,2010-11,Zanzibar,1
53010253060055,2008-09,Zanzibar,0
5301025306005501,2010-11,Zanzibar,0
53010253060086,2008-09,Zanzibar,0
5301025306008602,2010-11,Zanzibar,0
53010253060090,2008-09,Zanzibar,0
5301025306009001,2010-11,Zanzibar,0
53010253060114,2008-09,Zanzibar,0
5301025306011401,2010-11,Zanzibar,0
53010253060116,2008-09,Zanzibar,0
5301025306011601,2010-11,Zanzibar,0
53010253060155,2008-09,Zanzibar,0
5301025306015501,2010-11,Zanzibar,0
53010253060158,2008-09,Zanzibar,0
5301025306015801,2010-11,Zanzibar,0
53010253060193,2008-09,Zanzibar,0
5301025306019301,2010-11,Zanzibar,0
53010263120009,2008-09,Zanzibar,0
5301026312000901,2010-11,Zanzibar,0
53010263120015,2008-09,Zanzibar,0
5301026312001501,2010-11,Zanzibar,0
53010263120016,2008-09,Zanzibar,0
5301026312001601,2010-11,Zanzibar,0
53010263120023,2008-09,Zanzibar,0
5301026312002301,2010-11,Zanzibar,0
53010263120029,2008-09,Zanzibar,0
5301026312002901,2010-11,Zanzibar,0
53010263120035,2008-09,Zanzibar,0
5301026312003501,2010-11,Zanzibar,0
53010263120045,2008-09,Zanzibar,0
53010263120063,2008-09,Zanzibar,0
5301026312006301,2010-11,Zanzibar,0
5301026312006305,2010-11,Mainland Rural,1
53010283250010,2008-09,Zanzibar,0
5301028325001002,2010-11,Zanzibar,0
5301028325001004,2010-11,Zanzibar,0
53010283250014,2008-09,Zanzibar,0
5301028325001401,2010-11,Zanzibar,0
5301028325001406,2010-11,Dar Es Salaam,0
53010283250026,2008-09,Zanzibar,0
5301028325002601,2010-11,Zanzibar,1
53010283250034,2008-09,Zanzibar,0
5301028325003402,2010-11,Zanzibar,0
53010283250036,2008-09,Zanzibar,0
5301028325003601,2010-11,Mainland Other Urban,0
53010283250038,2008-09,Zanzibar,0
5301028325003802,2010-11,Zanzibar,0
53010283250044,2008-09,Zanzibar,0
5301028325004401,2010-11,Zanzibar,0
53010283250049,2008-09,Zanzibar,0
5301028325004901,2010-11,Zanzibar,0
5302-001,2014-15,Dar Es Salaam,0
53020020040006,2008-09,Zanzibar,0
5302002004000601,2010-11,Zanzibar,1
53020020040008,2008-09,Zanzibar,0
5302002004000801,2010-11,Zanzibar,1
5302002004000803,2010-11,Dar Es Salaam,0
53020020040013,2008-09,Zanzibar,0
5302002004001301,2010-11,Zanzibar,1
53020020040025,2008-09,Zanzibar,0
5302002004002501,2010-11,Zanzibar,1
53020020040032,2008-09,Zanzibar,0
5302002004003201,2010-11,Zanzibar,1
53020020040039,2008-09,Zanzibar,0
5302002004003901,2010-11,Zanzibar,1
53020020040042,2008-09,Zanzibar,0
5302002004004201,2010-11,Zanzibar,1
53020020040047,2008-09,Zanzibar,0
5302002004004701,2010-11,Zanzibar,1
53020060010014,2008-09,Zanzibar,0
5302006001001401,2010-11,Zanzibar,1
5302006001001402,2010-11,Zanzibar,1
53020060010018,2008-09,Zanzibar,0
5302006001001801,2010-11,Zanzibar,1
53020060010025,2008-09,Zanzibar,0
5302006001002501,2010-11,Zanzibar,1
53020060010026,2008-09,Zanzibar,0
5302006001002601,2010-11,Zanzibar,1
53020060010034,2008-09,Zanzibar,0
5302006001003401,2010-11,Zanzibar,1
5302006001003402,2010-11,Zanzibar,0
53020060010035,2008-09,Zanzibar,0
5302006001003501,2010-11,Zanzibar,1
53020060010036,2008-09,Zanzibar,0
5302006001003601,2010-11,Zanzibar,1
53020060010044,2008-09,Zanzibar,0
5302006001004401,2010-11,Zanzibar,1
5302006001004402,2010-11,Zanzibar,1
53020080020002,2008-09,Zanzibar,0
53020080020009,2008-09,Zanzibar,0
5302008002000901,2010-11,Zanzibar,1
53020080020015,2008-09,Zanzibar,0
5302008002001501,2010-11,Zanzibar,1
53020080020016,2008-09,Zanzibar,0
5302008002001601,2010-11,Zanzibar,1
53020080020029,2008-09,Zanzibar,0
53020080020035,2008-09,Zanzibar,0
5302008002003501,2010-11,Zanzibar,1
53020080020045,2008-09,Zanzibar,0
5302008002004501,2010-11,Zanzibar,1
53020080020050,2008-09,Zanzibar,0
5302008002005001,2010-11,Zanzibar,1
53020100050054,2008-09,Zanzibar,0
5302010005005401,2010-11,Zanzibar,1
53020100050055,2008-09,Zanzibar,0
5302010005005501,2010-11,Zanzibar,1
5302010005005505,2010-11,Zanzibar,1
53020100050065,2008-09,Zanzibar,0
5302010005006501,2010-11,Zanzibar,1
5302010005006504,2010-11,Mainland Rural,1
53020100050067,2008-09,Zanzibar,0
5302010005006701,2010-11,Zanzibar,1
53020100050086,2008-09,Zanzibar,0
5302010005008601,2010-11,Zanzibar,1
53020100050090,2008-09,Zanzibar,0
5302010005009001,2010-11,Dar Es Salaam,1
5302010005009003,2010-11,Zanzibar,1
53020100050091,2008-09,Zanzibar,0
5302010005009101,2010-11,Zanzibar,1
5302010005009106,2010-11,Zanzibar,0
53020100050092,2008-09,Zanzibar,0
5302010005009201,2010-11,Zanzibar,0
53020110030028,2008-09,Zanzibar,0
5302011003002801,2010-11,Zanzibar,1
53020110030034,2008-09,Zanzibar,0
5302011003003401,2010-11,Zanzibar,1
53020110030035,2008-09,Zanzibar,0
5302011003003501,2010-11,Zanzibar,1
53020110030040,2008-09,Zanzibar,0
5302011003004001,2010-11,Zanzibar,1
53020110030042,2008-09,Zanzibar,0
5302011003004201,2010-11,Zanzibar,1
53020110030044,2008-09,Zanzibar,0
5302011003004401,2010-11,Zanzibar,1
53020110030054,2008-09,Zanzibar,0
5302011003005401,2010-11,Zanzibar,1
53020110030062,2008-09,Zanzibar,0
5302011003006201,2010-11,Zanzibar,1
53020110120023,2008-09,Zanzibar,0
5302011012002302,2010-11,Zanzibar,1
53020110120035,2008-09,Zanzibar,0
5302011012003501,2010-11,Zanzibar,1
53020110120045,2008-09,Zanzibar,0
5302011012004501,2010-11,Zanzibar,1
53020110120050,2008-09,Zanzibar,0
5302011012005001,2010-11,Zanzibar,1
53020110120074,2008-09,Zanzibar,0
5302011012007401,2010-11,Zanzibar,1
53020110120075,2008-09,Zanzibar,0
5302011012007501,2010-11,Zanzibar,1
53020110120084,2008-09,Zanzibar,0
5302011012008401,2010-11,Zanzibar,1
53020120120034,2008-09,Zanzibar,0
5302012012003401,2010-11,Zanzibar,1
53020120120036,2008-09,Zanzibar,0
5302012012003601,2010-11,Zanzibar,1
53020120120044,2008-09,Zanzibar,0
5302012012004401,2010-11,Zanzibar,1
53020120120048,2008-09,Zanzibar,0
5302012012004801,2010-11,Zanzibar,1
53020120120049,2008-09,Zanzibar,0
5302012012004901,2010-11,Zanzibar,1
53020120120062,2008-09,Zanzibar,0
